lat;lng;name;portsCount;portsComment
50.066362;29.913569;TOKA #244 IoftBurger Fastiv (м. Фастів, вул. Гетьманська, 1);2;\n        \n         Type 2 - вільний - 14.49 ₴/⚡ Type 1 - вільний - 14.49 ₴/⚡
50.458216;30.460832;TOKA #247 Kyiv Zoo (вул. Зоологічна, 5, Київ, 02000);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.458181;30.460992;TOKA #248 Kyiv Zoo (вул. Зоологічна, 5, Київ, 02000);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
49.798016;24.065418;TOKA #1183 AZUZ-Kolisna (м. Львів, вул. Колісна, 39);3;\n        \n         Type 2 - зайнятий - 14.99 ₴/⚡ Type 1 - вільний - 14.99 ₴/⚡ Type 1 - вільний - 14.99 ₴/⚡
49.810814;24.03213;TOKA #176 AZUZ-KVITKA (м. Львів, вул. Професора Буйка, 27);3;\n        \n         Type 2 Plug - зайнятий - 14.99 ₴/⚡ Type 2 - вільний - 14.99 ₴/⚡ Type 1 - відключений - 14.99 ₴/⚡
49.807748;24.071109;TOKA #168 AZUZ-HYGGE (м.Львів, вул. Пасічна, 148);3;\n        \n         Type 2 - невідомий - 14.99 ₴/⚡ Type 1 - невідомий - 14.99 ₴/⚡ Type 1 - невідомий - 14.99 ₴/⚡
50.426224;30.505021;TOKA #252 Protasov business park [доступ обмежено] (вул.Миколи Грінченка, 2/1,  Київ);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.424254;30.507158;TOKA #253 Protasov business park [доступ обмежено] (вул.Миколи Грінченка, 2/1, Київ);2;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡
46.481941;30.745414;TOKA #254 MTB BANK (Польський узвіз, 11, Одеса);2;\n        \n         Type 2 - вільний - 0.00 ₴/⚡ Type 2 - вільний - 0.00 ₴/⚡
50.448577;30.632715;TOKA #66 Banya (м. Київ, вул. Івана Сергієнка, 16);3;\n        \n         Type 2 - зайнятий - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡
50.458054;30.461093;TOKA #259 Kyiv Zoo (вул.Зоологічна, 5, Київ, Україна, 02000);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
48.250398;22.619133;TOKA #270 Helikon (вул.Шевченка, 45, Яноші, Закарпатська область);2;\n        \n         Type 2 - вільний - 16.00 ₴/⚡ Type 1 - вільний - 16.00 ₴/⚡
50.458103;30.461185;TOKA #271 Kyiv Zoo (вул.Зоологічна, 5, Київ, Україна, 02000);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
51.316937;26.620922;TOKA #273 OKKO Gas Station Fast Charger (м. Сарни, вул. Варшавська, 4-Б);4;\n        \n         CHAdeMO - вільний - 15.99 ₴/⚡ CCS 2/CCS 1 - вільний - 15.99 ₴/⚡ Type 2 Plug - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
48.801996;23.445757;TOKA #283 Vezha vedmezha (вул. Опришків, 1, с. Волосянка, Львівська область);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.448196;30.295986;TOKA #284 USCRF (проспект Перемоги, 151, Київ);3;\n        \n         Type 2 - вільний - 15.16 ₴/⚡ Type 1 - вільний - 15.16 ₴/⚡ Type 1 - вільний - 15.16 ₴/⚡
48.929804;24.707311;TOKA #1150 Panorama Plaza By GreenLife (Північний бульвар, 2А, Івано-Франківськ, Івано-Франківська обл);2;\n        \n         Type 2 - вільний - 15.99 ₴/⚡ Type 1 - вільний - 15.99 ₴/⚡
50.413481;30.525958;FASTER #276 Private station (вул. Велика Васильківська, 143/2, Київ,  03150);2;\n        \n         Type 2 - зайнятий - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
48.939957;24.738379;TOKA #293 OKKO Gas Station By GreenLife (вул.Вовчинецька, 225д, Івано-фоанківськ);2;\n        \n         Type 2 - відключений - 15.99 ₴/⚡ Type 1 - вільний - 15.99 ₴/⚡
46.413593;30.725005;TOKA #295 Tiras (м. Одеса, вул. Академіка Королева, 5/4);1;\n        \n         Type 2 - невідомий - 100.00 ₴/⚡
48.915555;24.72942;TOKA #296 OKKO Gas Station By GreenLife (вул. Хриплинська, 9, Івано-Франківськ);2;\n        \n         Type 2 - вільний - 15.99 ₴/⚡ Type 1 - вільний - 15.99 ₴/⚡
50.241318;30.571293;TOKA #299 Baku Boulevard (Київська обл., с. Підгірці, Новообухівська траса 28 км);2;\n        \n         Type 2 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡
50.394945;30.602596;FASTER #300 Zarichna (м. Київ, вул. Зарічна, 16);3;\n        \n         Type 2 - вільний - 13.49 ₴/⚡ Type 1 - зайнятий - 13.49 ₴/⚡ Type 1 - зайнятий - 13.49 ₴/⚡
48.959796;24.704331;TOKA #305 OKKO Gas Station Fast Charger (вул. Галицька, 23А, Угринів, Івано-Франківська обл.);3;\n        \n         Type 2 - відключений - 15.99 ₴/⚡ CHAdeMO - вільний - 16.99 ₴/⚡ CCS 2 - вільний - 16.99 ₴/⚡
50.485839;30.519035;TOKA #1014 Blockbuster Fast Charger (м. Київ, пр-т. Степана Бандери, 34-В);4;\n        \n         CHAdeMO - вільний - 15.99 ₴/⚡ CCS 2 - вільний - 15.99 ₴/⚡ Type 2 Plug - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.469565;30.524394;FASTER #303 Khutorok restaurant (м. Київ. Набережно-Хрещатицька, 10-А);3;\n        \n         Type 2 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡
46.396301;30.708442;TOKA #307 Marshal (м. Одеса, проспект Академіка Глушка, 29-А);1;\n        \n         Type 2/Type 1 - невідомий - 14.99 ₴/⚡
49.790488;30.115372;TOKA #308 Margarita (вул. Гагаріна, 35/33, Біла Церква);2;\n        \n         Type 2 - зайнятий - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.514207;30.498809;FASTER #309 DREAM berry (м. Київ, Оболонський просп., 21-б);3;\n        \n         Type 2 - вільний - 15.99 ₴/⚡ Type 1 - зайнятий - 15.99 ₴/⚡ Type 1 - вільний - 15.99 ₴/⚡
50.514213;30.498399;FASTER #315 DREAM berry (м. Київ, Оболонський просп., 21-б);3;\n        \n         Type 2 - вільний - 15.99 ₴/⚡ Type 1 - вільний - 15.99 ₴/⚡ Type 1 - вільний - 15.99 ₴/⚡
50.438301;30.409067;TOKA #23 UkrGazBank (м. Київ, бульв. Вацлава Гавела, 16А);1;\n        \n         Type 2 - вільний - 14.99 ₴/⚡
50.242165;30.276244;TOKA #324 Yupiter 9 Agroservices (вул. Сулими, 11, Глеваха, Київська обл., Украина, 08630);1;\n        \n         Type 2/Type 1 - невідомий - 0.00 ₴/⚡
48.798432;30.257414;TOKA #325 RDO (вул. Садова 169, м. Умань);4;\n        \n         CHAdeMO - вільний - 0.00 ₴/⚡ CCS 2 - вільний - 0.00 ₴/⚡ Type 2 - вільний - 0.00 ₴/⚡ Type 1 - вільний - 0.00 ₴/⚡
49.955631;23.124118;TOKA #327 OKKO Gas Station (Яворівський р-н, смт. Краковець, вул. Вербицького, 68);2;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡
50.437878;30.528404;TOKA #328 Barvy Fast Charger (м. Київ, вул. Мечникова, 3);3;\n        \n         Type 2 Plug - невідомий - 12.99 ₴/⚡ CCS 2 - невідомий - 15.99 ₴/⚡ CHAdeMO - невідомий - 15.99 ₴/⚡
50.432983;30.553478;TOKA #333 Goethe-Institut (вул. Лаврська, 16, літера Л, м. Київ);3;\n        \n         Type 2 - вільний - 0.00 ₴/⚡ Schuko - вільний - 0.00 ₴/⚡ Type 1 - вільний - 0.00 ₴/⚡
50.471581;30.356124;TOKA #336 OKKO Gas Station Fast Charger (м. Київ, пр-т Академіка Палладіна, 33);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ CHAdeMO - вільний - 15.99 ₴/⚡ CCS 2 - вільний - 15.99 ₴/⚡
50.6449;26.200685;TOKA #337 OKKO Gas Station Fast Charger (Рівненський р-н, с/рада Шпанівська, комплекс будівель та споруд №1);3;\n        \n         Type 2 - зайнятий - 12.99 ₴/⚡ CHAdeMO - вільний - 15.99 ₴/⚡ CCS 2 - вільний - 15.99 ₴/⚡
50.482644;30.492162;TOKA #342 NISSAN AutoAlliance (м. Київ, вул. Корабельна, 4-А);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 2 Plug - вільний - 12.99 ₴/⚡
